Generation   Max. Fitness   Avg. Fitness   Gen. Diversity
    1           0.11580        0.09840       0.01740
    2           0.11934        0.09934       0.02000
    3           0.12157        0.10016       0.02142
    4           0.12131        0.10091       0.02040
    5           0.12349        0.10316       0.02033
    6           0.12499        0.10650       0.01849
    7           0.12667        0.10931       0.01735
    8           0.12839        0.11189       0.01650
    9           0.13078        0.11403       0.01676
   10           0.13136        0.11551       0.01585
   11           0.13225        0.11798       0.01427
   12           0.13406        0.12147       0.01259
   13           0.13780        0.12378       0.01402
   14           0.13718        0.12412       0.01307
   15           0.13859        0.12595       0.01264
   16           0.14184        0.12791       0.01393
   17           0.14162        0.12889       0.01273
   18           0.14239        0.13170       0.01069
   19           0.14333        0.13379       0.00954
   20           0.14556        0.13586       0.00970
   21           0.14560        0.13682       0.00878
   22           0.14669        0.13859       0.00810
   23           0.14838        0.13954       0.00884
   24           0.15011        0.14079       0.00932
   25           0.15101        0.14200       0.00901
   26           0.15330        0.14371       0.00958
   27           0.15812        0.14526       0.01286
   28           0.15742        0.14562       0.01180
   29           0.16034        0.14780       0.01254
   30           0.16120        0.14878       0.01242
   31           0.16273        0.15041       0.01232
   32           0.16257        0.15217       0.01039
   33           0.16631        0.15411       0.01221
   34           0.16611        0.15489       0.01122
   35           0.16760        0.15710       0.01050
   36           0.16911        0.15945       0.00966
   37           0.16907        0.16126       0.00781
   38           0.17027        0.16266       0.00761
   39           0.17191        0.16329       0.00862
   40           0.17200        0.16386       0.00814
   41           0.17352        0.16468       0.00884
   42           0.17265        0.16529       0.00736
   43           0.17445        0.16598       0.00847
   44           0.17508        0.16658       0.00850
   45           0.17561        0.16743       0.00818
   46           0.17677        0.16810       0.00867
   47           0.17655        0.16889       0.00766
   48           0.17736        0.16982       0.00754
   49           0.17766        0.17058       0.00708
   50           0.17779        0.17102       0.00676
