Generation         Best Phrase          Max. Fitness    Avg. Fitness   Gen. Diversity
    1          RrgcZ  GVvYfvtokSb          0.1667          0.0172          0.1494
    2          eq ib TrNbQf cpqzu          0.2222          0.0425          0.1797
    3          fM KGGWTanokuBr bg          0.2778          0.0806          0.1972
    4          FagGG JWLnovxBp bs          0.2778          0.1064          0.1714
    5          HTQGZ wTBnCf tp by          0.3333          0.1394          0.1939
    6          Ro bISOmWnokatpIVu          0.3333          0.1822          0.1511
    7          goQbZ YmEnok Xo Zh          0.4444          0.2111          0.2333
    8          foQbD Ym nof co bo          0.5556          0.2386          0.3169
    9          HoQbb Yr nov to ub          0.6111          0.2928          0.3183
   10          HofbD Yr nov to bb          0.6667          0.3397          0.3269
   11          Ho bH YrnnoK Co br          0.6111          0.3567          0.2544
   12          mN be YW no  cp br          0.5556          0.3947          0.1608
   13          Rogbe Ym no  Uo br          0.6111          0.4097          0.2014
   14          fotbZ Ym nof to bA          0.6111          0.4236          0.1875
   15          mojbe Tr nof tU bu          0.6667          0.4481          0.2186
   16          mo be orpnoZ tU bA          0.7222          0.4872          0.2350
   17          mo beRYr noQ to br          0.7222          0.5283          0.1939
   18          mo be YrBnof to bj          0.7222          0.5583          0.1639
   19          m  be or nov to bj          0.7778          0.5811          0.1967
   20          m  be or nov to bj          0.7778          0.5836          0.1942
   21          mo be or noZ to bj          0.8333          0.5981          0.2353
   22          mo be or nof to bu          0.8333          0.6044          0.2289
   23          mo be Yr nov to br          0.7778          0.6153          0.1625
   24          eo be ur nof to bK          0.7778          0.6456          0.1322
   25          Ho be orWnof to bA          0.7778          0.6622          0.1156
   26          go be or nof to bj          0.8333          0.6747          0.1586
   27          go be or nof to bK          0.8333          0.6797          0.1536
   28          To be or nof to bA          0.8889          0.7000          0.1889
   29          to be or nof to bi          0.8333          0.7064          0.1269
   30          to be or nov to bj          0.8333          0.7144          0.1189
   31          Ho be or nof to bj          0.8333          0.7242          0.1092
   32          to be or nof to bM          0.8333          0.7283          0.1050
   33          Ro be or nok to bj          0.8333          0.7461          0.0872
   34          Ro be or nof to bC          0.8333          0.7356          0.0978
   35          To be or noQ to bB          0.8889          0.7494          0.1394
   36          Ro be or nof to bj          0.8333          0.7631          0.0703
   37          mo be or nok to bM          0.8333          0.7644          0.0689
   38          mo be or noC to bw          0.8333          0.7722          0.0611
   39          Ro be or nof to bM          0.8333          0.7750          0.0583
   40          io be or noC to bB          0.8333          0.7808          0.0525
